etat,matiere,couleur,categorie,likes,prix,prix_total,collection,type_matiere_principal,couleur_generique
très bon état,élasthanne,noir,pantalons et leggings,9.0,3.0,3.36,homme,autres,noir/gris
très bon état,coton,blanc,jeans,11.0,16.0,17.46,homme,fibre naturelle végétale,blanc/beige
très bon état,coton,rouge,hauts et t-shirts,33.0,3.0,3.85,homme,fibre naturelle végétale,rouge
neuf sans étiquette,coton,blanc,hauts et t-shirts,11.0,4.0,4.9,homme,fibre naturelle végétale,blanc/beige
très bon état,"coton, polyester",gris,sweats et sweats à capuche,9.0,6.0,7.0,homme,autres,noir/gris
très bon état,"polyester, viscose","vert, crème",blazers et tailleurs,21.0,20.0,21.7,homme,autres,vert
très bon état,coton,noir,sweats et sweats à capuche,9.0,5.0,5.7,homme,fibre naturelle végétale,noir/gris
neuf sans étiquette,coton,vert,hauts et t-shirts,7.0,2.0,2.8,homme,fibre naturelle végétale,vert
très bon état,Non précisée,beige,chaussures,108.0,30.0,32.65,homme,autres,blanc/beige
neuf sans étiquette,polyester,beige,hauts et t-shirts,9.0,6.0,7.0,homme,fibre synthétique,blanc/beige
très bon état,Non précisée,noir,hauts et t-shirts,19.0,5.0,5.95,homme,autres,noir/gris
neuf sans étiquette,polyester,"turquoise, orange",accessoires,11.0,6.0,6.61,homme,fibre synthétique,bleu
bon état,"coton, élasthanne",bleu,manteaux et vestes,33.0,5.0,5.95,homme,autres,bleu
très bon état,coton,bleu clair,jeans,15.0,5.0,5.95,homme,fibre naturelle végétale,bleu
bon état,polyester,marron,manteaux et vestes,22.0,15.0,16.4,homme,fibre synthétique,marron
très bon état,"viscose, nylon",bleu clair,hauts et t-shirts,16.0,5.0,5.95,homme,autres,bleu
très bon état,coton,"bleu clair, bleu",jeans,11.0,6.0,6.77,homme,fibre naturelle végétale,bleu
très bon état,Non précisée,blanc,hauts et t-shirts,24.0,5.0,5.95,homme,autres,blanc/beige
bon état,"polyester, viscose, élasthanne",vert foncé,pantalons et leggings,4.0,7.0,7.84,homme,autres,vert
neuf sans étiquette,"coton, polyester",noir,manteaux et vestes,4.0,10.0,11.2,homme,autres,noir/gris
très bon état,coton,"bleu, bleu clair",jeans,24.0,6.0,7.0,homme,fibre naturelle végétale,bleu
très bon état,"coton, élasthanne",noir,hauts et t-shirts,17.0,3.0,3.85,homme,autres,noir/gris
neuf sans étiquette,Non précisée,marine,hauts et t-shirts,29.0,10.0,11.2,homme,autres,bleu
très bon état,"polyester, viscose, élasthanne",noir,blazers et tailleurs,11.0,7.0,8.05,homme,autres,noir/gris
très bon état,"coton, élasthanne",bleu,jeans,9.0,6.0,6.61,homme,autres,bleu
très bon état,lin,beige,pantalons et leggings,28.0,10.0,11.2,homme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,coton,"vert, blanc",robes,24.0,10.0,11.2,homme,fibre naturelle végétale,vert
très bon état,polyester,rouge,blazers et tailleurs,33.0,10.0,11.05,homme,fibre synthétique,rouge
très bon état,coton,bleu clair,hauts et t-shirts,9.0,5.0,5.95,homme,fibre naturelle végétale,bleu
très bon état,"polyester, élasthanne",multicolore,robes,38.0,8.0,9.1,homme,autres,motif/multicolore
très bon état,coton,noir,hauts et t-shirts,25.0,4.0,4.9,homme,fibre naturelle végétale,noir/gris
bon état,polyester,beige,manteaux et vestes,42.0,10.0,10.95,homme,fibre synthétique,blanc/beige
très bon état,polyester,blanc,hauts et t-shirts,21.0,5.0,5.95,homme,fibre synthétique,blanc/beige
neuf sans étiquette,"cuir, cuir verni","noir, marron",chaussures,46.0,20.0,21.8,homme,autres,noir/gris
très bon état,Non précisée,moutarde,combinaisons et combishorts,11.0,12.0,13.3,homme,autres,jaune/orange
neuf avec étiquette,"polyester, viscose",menthe,hauts et t-shirts,13.0,5.0,5.95,homme,autres,vert
bon état,Non précisée,noir,manteaux et vestes,44.0,5.0,5.53,homme,autres,noir/gris
très bon état,coton,moutarde,pantalons et leggings,2.0,5.2,6.16,fille,fibre naturelle végétale,jaune/orange
neuf sans étiquette,coton,bleu,jeans,5.0,8.0,8.91,fille,fibre naturelle végétale,bleu
neuf sans étiquette,polyester,noir,hauts et t-shirts,8.0,5.0,5.7,fille,fibre synthétique,noir/gris
neuf sans étiquette,polyester,"blanc, noir",pantalons et leggings,2.0,3.0,3.85,fille,fibre synthétique,blanc/beige
neuf sans étiquette,viscose,"multicolore, blanc",robes,34.0,24.0,26.14,fille,fibre artificielle,motif/multicolore
neuf avec étiquette,"viscose, élasthanne",kaki,maillots de bain,14.0,10.0,11.05,fille,autres,vert
neuf sans étiquette,polyester,rose,jupes,2.0,8.0,8.78,fille,fibre synthétique,rose/violet
très bon état,coton,rose,hauts et t-shirts,5.0,8.0,8.78,fille,fibre naturelle végétale,rose/violet
neuf sans étiquette,"polyester, élasthanne",noir,pantalons et leggings,13.0,15.0,16.38,fille,autres,noir/gris
très bon état,Non précisée,jaune,combinaisons et combishorts,21.0,58.0,61.6,fille,autres,jaune/orange
neuf sans étiquette,Non précisée,"gris, argenté",sweats et sweats à capuche,13.0,10.0,11.05,fille,autres,noir/gris
très bon état,coton,"bleu clair, bleu",jeans,8.0,8.0,8.78,fille,fibre naturelle végétale,bleu
très bon état,"polyester, viscose",bleu clair,blazers et tailleurs,133.0,49.0,52.15,fille,autres,bleu
neuf sans étiquette,coton,argenté,shorts,20.0,10.0,11.2,fille,fibre naturelle végétale,noir/gris
très bon état,coton,blanc,hauts et t-shirts,53.0,4.0,4.63,fille,fibre naturelle végétale,blanc/beige
très bon état,Non précisée,blanc,blazers et tailleurs,30.0,25.0,27.1,fille,autres,blanc/beige
très bon état,Non précisée,multicolore,robes,20.0,25.0,27.23,fille,autres,motif/multicolore
très bon état,lin,crème,robes,43.0,7.0,8.05,fille,fibre naturelle végétale,blanc/beige
très bon état,polyester,rose,hauts et t-shirts,4.0,18.0,19.6,fille,fibre synthétique,rose/violet
neuf sans étiquette,coton,bleu clair,jeans,53.0,5.0,5.7,fille,fibre naturelle végétale,bleu
très bon état,cuir,noir,chaussures,198.0,25.0,27.23,fille,autres,noir/gris
bon état,"polyester, élasthanne",noir,hauts et t-shirts,5.0,5.0,5.7,fille,autres,noir/gris
neuf sans étiquette,"coton, lin",crème,manteaux et vestes,14.0,10.0,11.2,fille,autres,blanc/beige
neuf avec étiquette,coton,"blanc, crème",jeans,92.0,18.0,19.6,fille,fibre naturelle végétale,blanc/beige
neuf avec étiquette,cuir,marron,chaussures,118.0,60.0,64.55,fille,autres,marron
neuf avec étiquette,Non précisée,marron,manteaux et vestes,65.0,45.0,48.5,fille,autres,marron
très bon état,"coton, polyester",gris,sweats et sweats à capuche,3.0,6.0,6.77,fille,autres,noir/gris
très bon état,laine,noir,blazers et tailleurs,7.0,14.0,15.4,fille,fibre naturelle animale,noir/gris
très bon état,polyester,"noir, beige",jupes,3.0,6.0,7.0,fille,fibre synthétique,noir/gris
neuf sans étiquette,Non précisée,beige,costumes et tenues particulières,22.0,15.0,16.38,fille,autres,blanc/beige
très bon état,coton,bleu,jupes,37.0,9.0,9.87,fille,fibre naturelle végétale,bleu
très bon état,polyester,noir,pantalons et leggings,17.0,10.0,10.95,fille,fibre synthétique,noir/gris
neuf avec étiquette,"polyester, élasthanne",gris,hauts et t-shirts,116.0,16.0,17.47,fille,autres,noir/gris
neuf sans étiquette,coton,"crème, jaune",jeans,9.0,18.0,19.6,fille,fibre naturelle végétale,blanc/beige
très bon état,lin,crème,hauts et t-shirts,13.0,12.0,13.3,fille,fibre naturelle végétale,blanc/beige
très bon état,coton,bleu clair,hauts et t-shirts,11.0,15.0,16.45,fille,fibre naturelle végétale,bleu
neuf sans étiquette,"polyester, viscose, élasthanne",kaki,pantalons et leggings,13.0,25.0,26.95,fille,autres,vert
très bon état,coton,bleu,jupes-shorts,104.0,18.0,19.6,fille,fibre naturelle végétale,bleu
neuf avec étiquette,polyester,crème,lingerie et pyjamas,30.0,15.0,16.38,fille,fibre synthétique,blanc/beige
bon état,Non précisée,kaki,manteaux et vestes,5.0,6.0,7.0,fille,autres,vert
très bon état,coton,noir,jupes,36.0,7.0,7.84,fille,fibre naturelle végétale,noir/gris
très bon état,Non précisée,"beige, crème",hauts et t-shirts,36.0,10.0,11.2,fille,autres,blanc/beige
très bon état,Non précisée,bleu clair,jeans,17.0,8.0,9.1,fille,autres,bleu
neuf avec étiquette,coton,"marine, blanc",accessoires,46.0,6.0,6.61,fille,fibre naturelle végétale,bleu
très bon état,polyester,beige,manteaux et vestes,9.0,5.0,5.95,fille,fibre synthétique,blanc/beige
neuf avec étiquette,"polyester, viscose",crème,pantalons et leggings,15.0,28.0,30.1,fille,autres,blanc/beige
neuf avec étiquette,coton,marine,manteaux et vestes,20.0,45.0,48.5,fille,fibre naturelle végétale,bleu
très bon état,cuir synthétique,bordeaux,chaussures,35.0,25.0,27.23,fille,autres,rouge
très bon état,Non précisée,crème,hauts et t-shirts,35.0,6.0,6.61,fille,autres,blanc/beige
neuf avec étiquette,lin,"rose, fuchsia",shorts,42.0,13.0,14.35,fille,fibre naturelle végétale,rose/violet
très bon état,coton,bleu,jeans,4.0,8.0,9.1,fille,fibre naturelle végétale,bleu
très bon état,"polyester, viscose, élasthanne",noir,jupes,38.0,5.0,5.95,fille,autres,noir/gris
très bon état,coton,vert foncé,robes,5.0,8.0,9.1,fille,fibre naturelle végétale,vert
neuf sans étiquette,"coton, polyester",beige,pantalons et leggings,36.0,10.0,11.2,fille,autres,blanc/beige
neuf sans étiquette,polyester,rouge,robes,95.0,45.0,47.95,fille,fibre synthétique,rouge
très bon état,"coton, lin, dentelle",crème,hauts et t-shirts,139.0,17.0,18.55,fille,autres,blanc/beige
neuf avec étiquette,Non précisée,"lila, bleu clair",robes,156.0,60.0,63.7,fille,autres,autres
très bon état,"cuir, cuir synthétique","kaki, vert",manteaux et vestes,49.0,35.0,38.08,fille,autres,vert
neuf sans étiquette,coton,crème,sacs,17.0,8.0,8.78,fille,fibre naturelle végétale,blanc/beige
neuf avec étiquette,"polyester, élasthanne","noir, marron",robes,22.0,20.0,21.7,fille,autres,noir/gris
neuf avec étiquette,cuir,"marron, bordeaux",chaussures,42.0,35.0,37.45,fille,autres,marron
très bon état,Non précisée,noir,chaussures,3.0,20.0,21.7,fille,autres,noir/gris
neuf avec étiquette,Non précisée,noir,manteaux et vestes,4.0,35.0,37.45,fille,autres,noir/gris
neuf sans étiquette,cuir,orange,chaussures,54.0,13.0,14.35,fille,autres,jaune/orange
